Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
86bc61ed-4a20-353b-a138-b1bbe58ff272,INTERNAL MEDICINE ASSOCIATES PLC,9063 POINT CYPRESS DR,ORLANDO,FL,328365475,28.5421109,-81.3790304,3212140028,0.0,8
30f055b2-db10-358a-bb37-cc02d12199dd,INJURY WELLNESS CLINIC INC,9724 N ARMENIA AVE STE 400,TAMPA,FL,336148149,28.038693692307692,-82.48214438461538,8135309300,0.0,47
516e27ea-2841-31f0-acf6-0a7b4975392f,SARROCA MEDICAL CENTER INC,3709 W HAMILTON AVE,TAMPA,FL,336144015,28.014396,-82.474178,8133747608,0.0,74
66d7baca-da93-311e-9727-5574e5b702b7,BIOSPINE LLC,5301 AVION PARK DR,TAMPA,FL,336071416,27.9585361,-82.5338475,8554853262,0.0,56
12f51830-1f7b-3216-8886-794b9ff75827,TAMPA FAMILY HEALTH CENTERS INC,12085 W. HILLSBOROUGH AVE.,TAMPA,FL,33635,28.01866325,-82.62002366749252,8133975300,0.0,42
0c160d0d-6c12-33b9-9e87-e35b815f2786,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH TAMPA  LLC,3840 ATMORE GROVE DR,LUTZ,FL,335487903,28.1300994,-82.45918424070945,8136073600,0.0,28
bee89aff-c3d1-3210-aa53-bf74c91d6193,AVANTGARDE URGENT CARE  LLC,5112 N HABANA AVE,TAMPA,FL,336143873,27.993807699999998,-82.48903450268165,8138019111,0.0,11
4228766e-305a-30af-9668-ff02dfebe284,LIFEPATH HOSPICE,4200 W CYPRESS ST,TEMPLE TERRACE,FL,336174068,28.0352964,-82.3892596,8138772200,0.0,1
2fbc3ab6-a0f4-364f-9ad9-aa4c6ae9894a,WINDMOOR HEALTHCARE OF CLEARWATER,11300 US 19 N,TAMPA,FL,336071608,27.9477595,-82.458444,7275412646,0.0,7
90e238a4-f347-3ae9-bf70-bf96fa2a3935,TAMPA FAMILY HEALTH CENTERS  INC,1502 E FOWLER AVENUE,TAMPA,FL,336125352,28.05458612244898,-82.44270922448979,8138660950,0.0,3
c78c7864-ccbe-31e2-a321-a2cc6a18df56,TRANSITIONAL HOSPITALS OF TAMPA LLC,4801 N HOWARD AVE,TAMPA,FL,336031411,27.989690600000003,-82.48150797531798,8138747575,0.0,144
4a63baff-8599-363a-a8ea-5539dd2ecff6,SUNCOAST COMMUNITY HEALTH CENTERS  INC,9555 E FOWLER AVE,THONOTOSASSA,FL,335922139,28.0569975,-82.280569614401,8136536100,0.0,33
53d51e91-ec83-399b-949f-81184c74d1ff,TEN BROECK TAMPA  LLC,29910 STATE ROUTE 56,WESLEY CHAPEL,FL,335468800,28.1866014,-82.36612096903323,8133330000,0.0,29
78bc7d27-2f83-3cbb-9ef0-faa56acc3ddc,ALL CARE URGENT CARE LLC DBA FAMILY EXPRESS URGENT CARE,21750 STATE ROAD 54,LUTZ,FL,335496921,28.1300994,-82.45918424070945,3526880100,0.0,1
7808601e-84c6-3601-a42b-f2c4866cb7fe,NEW TAMPA MEDICAL CENTER PA,5381 PRIMROSE LAKE CIRCLE,TAMPA,FL,336473521,28.126992009151575,-82.37942672301145,8136152488,0.0,44
86f62f9a-b8ec-35ae-ba78-62281c7d24ea,ADVENTHEALTH CARROLLWOOD,7171 N DALE MABRY HWY,TAMPA,FL,336264702,28.01221485,-82.50384453695855,8139322222,0.0,159
6333ace5-aab4-3eea-bb52-d66ddc1e380e,LEE DAVIS HEALTH CENTER,3402 NORTH 22ND STREET,TAMPA,FL,336106205,27.97426048979592,-82.43484508163264,8132486263,0.0,14
eb6e955e-95d0-315b-995e-c421e5c64d3a,TAMPA FAMILY HEALTH CENTERS INC,8108 N NEBRASKA AVE,TAMPA,FL,336041004,28.021422836734693,-82.45136091836736,8138660930,0.0,61
8c19643a-4bb6-3d34-bd6b-c85c5621d232,TLC URGENT CARE PLC,10205 W HILLSBOROUGH AVE,TAMPA,FL,336153671,27.9960939,-82.459981,8138842370,0.0,4
d655db95-61c0-31e0-8c65-671161b9aee0,DOCTORS URGENT CARE LLC,2404 US HIGHWAY 19,PALM HARBOR,FL,346842152,28.0856815,-82.75690699742961,7279450100,0.0,1
146d1f22-51b6-3f62-a27d-9a3681362613,ADVANCED HOME HEALTH INC,27661 CASHFORD CIRCLE STE 102,WESLEY CHAPEL,FL,335446976,28.189370663270452,-82.35779954203093,8139942505,0.0,2
f682ab81-e306-3ed8-a5f2-b1dcfe3c18d2,HABANA HEALTH CARE CENTER,2916 HABANA WAY,TAMPA,FL,336147108,27.985415795918367,-82.48902491836733,8138765141,0.0,3
c66ee281-5bd9-3117-af3b-e3125a0b0477,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL  INC,501 6TH AVE S,TAMPA,FL,336295017,27.9477595,-82.458444,7278987451,0.0,17
46c55399-9eb7-30cf-9af6-9e8dee7a5236,MEDERI CARETENDERS,311 PARK PLACE BLVD STE 100,CLEARWATER,FL,337593923,27.963760215391595,-82.72427693179014,7275841824,0.0,6
ac18d572-a1d9-33d6-bc16-6952c51d1d3c,AVITA MEDICAL CLINIC  LLC,14831 N FLORIDA AVE,TAMPA,FL,336131825,28.082972526315793,-82.45946231578947,8133302737,0.0,43
24c67436-6081-3bb4-b0cc-bd81d87cf149,TAMPA FAMILY HEALTH CENTERS  INC,8213 W WATERS AVENUE,TAMPA,FL,336151822,28.0253484,-82.4642309,8134905420,0.0,11
70dcd42d-0e4d-3d21-afca-4d39503af90d,HCA FLORIDA BRANDON HOSPITAL,119 OAKFIELD DR,TEMPLE TERRACE,FL,336172147,28.0352964,-82.3892596,8136815551,0.0,69
